observation_id,source_record_id,role,source_column,raw_value,numeric_value,source_status
obs_a62b15c6fc45315d4303,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_44,previous,formatted_current_value2,25.21,25.21,numeric
obs_b9d0661284b3e1349927,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_44,target,formatted_target_value2,20.00,20.00,numeric
obs_624aa93e6cd2f40d3864,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_44,current,formatted_progress_value2,25.50,25.50,numeric
obs_ed93a9801bae78db8f6a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_45,previous,formatted_current_value2,CB,,CB
obs_8738f95b71237709d16b,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_45,target,formatted_target_value2,80.00,80.00,numeric
obs_ae607f77ee8092f9eba5,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_45,current,formatted_progress_value2,95.10,95.10,numeric
obs_fdf2f98e9cc65b96b701,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_46,previous,formatted_current_value2,85.06,85.06,numeric
obs_b7281a83c4f8a81b2978,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_46,target,formatted_target_value2,80.00,80.00,numeric
obs_342eb031e8716d3c11fb,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_46,current,formatted_progress_value2,95.70,95.70,numeric
obs_8209c6bce6ef51b25aac,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_47,previous,formatted_current_value2,CB,,CB
obs_2e34db60933d13df60d9,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_47,target,formatted_target_value2,CB,,CB
obs_9bdc4b5d4a348013d527,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_47,current,formatted_progress_value2,9.80,9.80,numeric
obs_e13fd2aae7e5061eeb6a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_48,previous,formatted_current_value2,51.00,51.00,numeric
obs_af67dc8572283e469d71,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_48,target,formatted_target_value2,54.00,54.00,numeric
obs_8e9cb185dc727814a911,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_48,current,formatted_progress_value2,52.00,52.00,numeric
obs_27df7a1d739e9921c47a,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_49,previous,formatted_current_value2,45.00,45.00,numeric
obs_32cb439f8503735337f2,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_49,target,formatted_target_value2,47.00,47.00,numeric
obs_e40d3da78026532c8307,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_49,current,formatted_progress_value2,100.00,100.00,numeric
obs_43bc04977c9b79115116,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_50,previous,formatted_current_value2,32.00,32.00,numeric
obs_91abab3450edf635ef76,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_50,target,formatted_target_value2,34.00,34.00,numeric
obs_79f612fd38ca86c7a6b8,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_50,current,formatted_progress_value2,35.70,35.70,numeric
obs_6ca85fdc6c2638f3be49,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_51,previous,formatted_current_value2,47.30,47.30,numeric
obs_d6c02fbd690ccce9fd55,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_51,target,formatted_target_value2,50.00,50.00,numeric
obs_5535b607d68c412fba45,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_51,current,formatted_progress_value2,51.90,51.90,numeric
obs_e7f40f81d71624be8338,file_2d5012536ed5ac5f9e0e255fec2131c2e0ce54d8782e454c2c26de9965c72b73:record_52,previous,formatted_current_value2,47.30,47.30,numeric
